case_id,crime_description,crime_category,location_type,victim_count,accused_count,weapon_used,intent,property_value,injury_level,keywords,predicted_bns_sections,applicable_bnss_procedures,applicable_bsa_evidence,punishment_range,case_outcome,case_duration_months,confidence_label
CP-CASE-100025,A dead body with multiple stab wounds was discovered in an abandoned building. Police suspect a pre-planned murder.,Murder & Homicide,Rural Area,2,2,Kitchen Knife,Property Dispute,0,Fatal (Death),"poisoning, autopsy report, homicide, stabbed to death, motive",Section 101 (Murder),Section 196 (Power to Summon Persons),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Conviction,48,Medium
CP-CASE-100026,A 10-year-old child was abducted outside their school by two individuals in a black SUV. A ransom call was received later.,Kidnapping & Abduction,Digital / Online,3,3,Iron Rod,Personal Vendetta,703940,None,"kidnap, unidentified vehicle, ransom call",Section 142 (Kidnapping or Abducting in order to Murder),Section 173 (Zero FIR registration),Section 45 (Expert Opinion on Handwriting),7 to 10 Years Imprisonment & Fine,Referred to Mediation,32,High
CP-CASE-100027,"The accused shot the victim following a long-standing property dispute, leading to instantaneous death.",Murder & Homicide,Rural Area,1,1,Country-made Gun,Spontaneous Argument,0,Fatal (Death),"gunshot, homicide, autopsy report",Section 101 (Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Acquittal,35,Medium
CP-CASE-100028,Accused lured a young girl under false pretenses of a job offer and held her captive in a remote village.,Kidnapping & Abduction,Digital / Online,3,4,Country-made Gun,Property Dispute,1249754,None,"abducted from school, abduction, held hostage, unidentified vehicle",Section 140 (Kidnapping),Section 184 (Medical Examination of Kidnapped Person),Section 45 (Expert Opinion on Handwriting),7 to 10 Years Imprisonment & Fine,Acquittal,46,Medium
CP-CASE-100029,Accused was caught red-handed stealing a mobile phone and wallet from a passenger at the crowded railway station.,Theft & Burglary,Public Space,2,3,None,Accidental / Negligence,1497412,None,"robbery, broken lock, night burglary, locker forced, gold chain",Section 331 (Lurking House-trespass),Section 173 (Information in Cognizable Cases),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Dismissed for Lack of Evidence,10,Medium
CP-CASE-100030,Victim was abducted from a bus stop by masked men. The family received threats demanding property papers.,Kidnapping & Abduction,Commercial,1,4,Kitchen Knife,Property Dispute,978114,None,"kidnap, forced custody, held hostage, unidentified vehicle, abducted from school",Section 142 (Kidnapping or Abducting in order to Murder),Section 184 (Medical Examination of Kidnapped Person),Section 45 (Expert Opinion on Handwriting),7 to 10 Years Imprisonment & Fine,Referred to Mediation,40,Low
CP-CASE-100031,Victim was poisoned by a family member to inherit ancestral property. Autopsy confirmed presence of chemical toxins.,Murder & Homicide,Digital / Online,2,1,Kitchen Knife,Accidental / Negligence,0,Fatal (Death),"fatal attack, gunshot, autopsy report, strangulation, dead body found",Section 101 (Murder),Section 196 (Power to Summon Persons),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Dismissed for Lack of Evidence,11,High
CP-CASE-100032,"Accused voluntarily caused bodily harm to a passerby after a heated argument, using a wooden stick.",Assault & Hurt,Commercial,2,2,Kitchen Knife,Accidental / Negligence,0,Moderate (Stitch/Sprain),"physical attack, iron rod, bruises, scuffle",Section 115 (Voluntarily Causing Hurt),Section 202 (Postponement of Issue of Process),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Conviction,40,Medium
CP-CASE-100033,"The complainant stated that when they returned home from vacation, they found the front lock broken and jewelry worth INR 1639364 stolen.",Theft & Burglary,Rural Area,1,2,None,Financial Gain,1639364,None,"broken lock, gold chain, locker forced, night burglary, house break",Section 303 (Theft),Section 173 (Information in Cognizable Cases),Section 60 (Primary Evidence),1 to 7 Years Imprisonment & Fine,Settled / Compromised,22,High
CP-CASE-100034,A 10-year-old child was abducted outside their school by two individuals in a black SUV. A ransom call was received later.,Kidnapping & Abduction,Rural Area,2,1,Firearm / Pistol,Financial Gain,1569513,None,"forced custody, unidentified vehicle, extortion demand, ransom call",Section 140 (Kidnapping),Section 173 (Zero FIR registration),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Referred to Mediation,25,High
CP-CASE-100035,"Locked apartment was broken into during the daytime. Valuables including a laptop, silver utensils, and INR 729139 cash were stolen.",Theft & Burglary,Rural Area,1,3,None,Financial Gain,729139,None,"missing cash, robbery, thief, broken lock",Section 331 (Lurking House-trespass),Section 184 (Medical Examination of Victim),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Acquittal,33,Low
CP-CASE-100036,Complainant purchased goods from an online portal which turned out to be a fraudulent setup. Loss of INR 1292661 reported.,Cyber Crime & Fraud,Public Space,2,3,None,Accidental / Negligence,1292661,None,"phishing, credit card fraud, email hacking",Section 318 (Cheating),Section 105 (Search and Seizure of Electronic Devices),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Conviction,27,Medium
CP-CASE-100037,"The victim was assaulted by a group of individuals near a local market, sustaining severe head injuries and a fractured arm.",Assault & Hurt,Residential,2,3,Wooden Stick,Property Dispute,0,Moderate (Stitch/Sprain),"fight, scuffle, bleeding, bruises, beating",Section 117 (Voluntarily Causing Grievous Hurt),Section 202 (Postponement of Issue of Process),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Dismissed for Lack of Evidence,36,Medium
CP-CASE-100038,A thief broke into a commercial shop at night by drilling a hole in the rear wall and stole cash amount of INR 618056.,Theft & Burglary,Public Space,3,2,None,Accidental / Negligence,618056,None,"locker forced, house break, missing cash, jewelry, thief",Section 305 (Theft in Dwelling),Section 184 (Medical Examination of Victim),Section 60 (Primary Evidence),1 to 7 Years Imprisonment & Fine,Dismissed for Lack of Evidence,28,Medium
CP-CASE-100039,"The victim received a phishing call pretending to be a bank official, leading to an unauthorized debit of INR 484473 from their bank account.",Cyber Crime & Fraud,Public Space,2,1,None,Jealousy / Crime of Passion,484473,None,"fake website, unauthorized transaction, fake profile, forged signature, email hacking",Section 319 (Cheating by Personation),Section 105 (Search and Seizure of Electronic Devices),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Settled / Compromised,18,High
CP-CASE-100040,"A physical altercation broke out between neighbors over a parking space, resulting in the accused hitting the victim with an iron rod causing grievous hurt.",Assault & Hurt,Residential,2,1,None,Property Dispute,0,Moderate (Stitch/Sprain),"broken arm, hospitalized, beating, iron rod, fight",Section 117 (Voluntarily Causing Grievous Hurt),Section 202 (Postponement of Issue of Process),Section 45 (Opinions of Experts),Fine up to INR 10000 or up to 7 Years Imprisonment,Settled / Compromised,34,High
CP-CASE-100041,Complainant purchased goods from an online portal which turned out to be a fraudulent setup. Loss of INR 1974553 reported.,Cyber Crime & Fraud,Digital / Online,1,4,None,Spontaneous Argument,1974553,None,"ransomware, online scam, fake website",Section 318 (Cheating),Section 105 (Search and Seizure of Electronic Devices),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Conviction,21,Low
CP-CASE-100042,A businessman was kidnapped from his farmhouse by armed assailants demanding INR 1251168 for his release.,Kidnapping & Abduction,Commercial,2,4,Wooden Stick,Property Dispute,1251168,None,"missing child, kidnap, unidentified vehicle, extortion demand",Section 140 (Kidnapping),Section 173 (Zero FIR registration),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Conviction,22,High
CP-CASE-100043,"A physical altercation broke out between neighbors over a parking space, resulting in the accused hitting the victim with an iron rod causing grievous hurt.",Assault & Hurt,Rural Area,1,4,Kitchen Knife,Jealousy / Crime of Passion,0,Fatal (Death),"physical attack, fight, bleeding, broken arm",Section 117 (Voluntarily Causing Grievous Hurt),Section 202 (Postponement of Issue of Process),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Settled / Compromised,20,Low
CP-CASE-100044,"A physical altercation broke out between neighbors over a parking space, resulting in the accused hitting the victim with an iron rod causing grievous hurt.",Assault & Hurt,Rural Area,3,2,Wooden Stick,Personal Vendetta,0,None,"broken arm, physical attack, scuffle",Section 117 (Voluntarily Causing Grievous Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 45 (Opinions of Experts),Fine up to INR 10000 or up to 7 Years Imprisonment,Dismissed for Lack of Evidence,25,Medium
CP-CASE-100045,Victim was abducted from a bus stop by masked men. The family received threats demanding property papers.,Kidnapping & Abduction,Digital / Online,3,1,Kitchen Knife,Jealousy / Crime of Passion,1036563,None,"missing child, kidnap, abduction, ransom call",Section 140 (Kidnapping),Section 184 (Medical Examination of Kidnapped Person),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Dismissed for Lack of Evidence,17,Low
CP-CASE-100046,Complainant purchased goods from an online portal which turned out to be a fraudulent setup. Loss of INR 381610 reported.,Cyber Crime & Fraud,Digital / Online,1,4,None,Accidental / Negligence,381610,None,"forged signature, ransomware, phishing, cloned identity",Section 318 (Cheating),Section 105 (Search and Seizure of Electronic Devices),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Settled / Compromised,37,Low
CP-CASE-100047,Victim was abducted from a bus stop by masked men. The family received threats demanding property papers.,Kidnapping & Abduction,Rural Area,2,3,Wooden Stick,Financial Gain,77959,None,"unidentified vehicle, kidnap, extortion demand, missing child",Section 142 (Kidnapping or Abducting in order to Murder),Section 184 (Medical Examination of Kidnapped Person),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Referred to Mediation,18,Medium
CP-CASE-100048,A body was found near a lake showing signs of strangulation and blunt force trauma to the head.,Murder & Homicide,Digital / Online,1,3,Firearm / Pistol,Personal Vendetta,0,Fatal (Death),"autopsy report, motive, strangulation, murder",Section 101 (Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 32 (Dying Declaration),Life Imprisonment or Death Penalty & Fine,Conviction,41,Low
CP-CASE-100049,"The complainant stated that when they returned home from vacation, they found the front lock broken and jewelry worth INR 472231 stolen.",Theft & Burglary,Commercial,1,2,None,Spontaneous Argument,472231,None,"jewelry, night burglary, locker forced, gold chain, thief",Section 305 (Theft in Dwelling),Section 173 (Information in Cognizable Cases),Section 60 (Primary Evidence),1 to 7 Years Imprisonment & Fine,Acquittal,41,Medium
CP-CASE-100050,A businessman was kidnapped from his farmhouse by armed assailants demanding INR 1066858 for his release.,Kidnapping & Abduction,Public Space,2,4,Wooden Stick,Property Dispute,1066858,None,"kidnap, missing child, extortion demand, abducted from school",Section 142 (Kidnapping or Abducting in order to Murder),Section 173 (Zero FIR registration),Section 45 (Expert Opinion on Handwriting),7 to 10 Years Imprisonment & Fine,Dismissed for Lack of Evidence,40,Medium
CP-CASE-100051,Victim was abducted from a bus stop by masked men. The family received threats demanding property papers.,Kidnapping & Abduction,Residential,2,2,Chemical Poison,Personal Vendetta,1600859,None,"forced custody, held hostage, unidentified vehicle, abduction, kidnap",Section 142 (Kidnapping or Abducting in order to Murder),Section 184 (Medical Examination of Kidnapped Person),Section 45 (Expert Opinion on Handwriting),7 to 10 Years Imprisonment & Fine,Acquittal,30,Medium
CP-CASE-100052,"Accused voluntarily caused bodily harm to a passerby after a heated argument, using a wooden stick.",Assault & Hurt,Rural Area,2,1,Firearm / Pistol,Spontaneous Argument,0,None,"broken arm, iron rod, bruises, fight, bleeding",Section 117 (Voluntarily Causing Grievous Hurt),Section 202 (Postponement of Issue of Process),Section 45 (Opinions of Experts),Fine up to INR 10000 or up to 7 Years Imprisonment,Conviction,47,Medium
CP-CASE-100053,A body was found near a lake showing signs of strangulation and blunt force trauma to the head.,Murder & Homicide,Public Space,1,2,Chemical Poison,Jealousy / Crime of Passion,0,Fatal (Death),"stabbed to death, strangulation, fatal attack, murder",Section 101 (Murder),Section 196 (Power to Summon Persons),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Conviction,25,High
CP-CASE-100054,Accused was caught red-handed stealing a mobile phone and wallet from a passenger at the crowded railway station.,Theft & Burglary,Commercial,2,2,None,Personal Vendetta,616236,None,"thief, broken lock, night burglary, robbery, steal",Section 331 (Lurking House-trespass),Section 184 (Medical Examination of Victim),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Referred to Mediation,37,High
CP-CASE-100055,Victim was poisoned by a family member to inherit ancestral property. Autopsy confirmed presence of chemical toxins.,Murder & Homicide,Commercial,2,1,Country-made Gun,Spontaneous Argument,0,Fatal (Death),"homicide, gunshot, strangulation, stabbed to death",Section 103 (Culpable Homicide Not Amounting to Murder),Section 196 (Power to Summon Persons),Section 32 (Dying Declaration),Life Imprisonment or Death Penalty & Fine,Dismissed for Lack of Evidence,22,Medium
CP-CASE-100056,A body was found near a lake showing signs of strangulation and blunt force trauma to the head.,Murder & Homicide,Digital / Online,1,4,Firearm / Pistol,Accidental / Negligence,0,Fatal (Death),"dead body found, motive, murder, fatal attack, poisoning",Section 103 (Culpable Homicide Not Amounting to Murder),Section 196 (Power to Summon Persons),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Conviction,42,Low
CP-CASE-100057,Accused created a fake social media profile using the complainant's photos and extorted money from their contacts.,Cyber Crime & Fraud,Public Space,1,2,None,Property Dispute,1627846,None,"fake website, phishing, online scam, ransomware",Section 319 (Cheating by Personation),Section 173 (Electronic FIR filing),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Conviction,14,Medium
CP-CASE-100058,"The accused shot the victim following a long-standing property dispute, leading to instantaneous death.",Murder & Homicide,Digital / Online,2,3,Country-made Gun,Personal Vendetta,0,Fatal (Death),"autopsy report, dead body found, poisoning, fatal attack",Section 101 (Murder),Section 196 (Power to Summon Persons),Section 26 (Admission by Party to Proceeding),Life Imprisonment or Death Penalty & Fine,Acquittal,15,Low
CP-CASE-100059,A 10-year-old child was abducted outside their school by two individuals in a black SUV. A ransom call was received later.,Kidnapping & Abduction,Rural Area,1,3,Firearm / Pistol,Financial Gain,768085,None,"extortion demand, missing child, abduction, held hostage",Section 142 (Kidnapping or Abducting in order to Murder),Section 173 (Zero FIR registration),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Conviction,36,Low
CP-CASE-100060,Accused created a fake social media profile using the complainant's photos and extorted money from their contacts.,Cyber Crime & Fraud,Rural Area,3,4,None,Jealousy / Crime of Passion,1920430,None,"cloned identity, phishing, fake website, online scam",Section 318 (Cheating),Section 105 (Search and Seizure of Electronic Devices),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Conviction,13,High
CP-CASE-100061,Complainant was attacked while returning home. The suspect slashed the victim's shoulder with a knife before fleeing.,Assault & Hurt,Public Space,3,4,Firearm / Pistol,Jealousy / Crime of Passion,0,Minor (Scratches/Bruises),"beating, hospitalized, iron rod, broken arm",Section 115 (Voluntarily Causing Hurt),Section 202 (Postponement of Issue of Process),Section 32 (Relevancy of Statement of Dead Person),Fine up to INR 10000 or up to 7 Years Imprisonment,Dismissed for Lack of Evidence,34,High
CP-CASE-100062,Accused was caught red-handed stealing a mobile phone and wallet from a passenger at the crowded railway station.,Theft & Burglary,Commercial,1,4,None,Accidental / Negligence,1438975,None,"robbery, missing cash, locker forced",Section 331 (Lurking House-trespass),Section 173 (Information in Cognizable Cases),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Settled / Compromised,9,High
CP-CASE-100063,A 10-year-old child was abducted outside their school by two individuals in a black SUV. A ransom call was received later.,Kidnapping & Abduction,Residential,3,2,Country-made Gun,Personal Vendetta,431347,None,"abducted from school, kidnap, unidentified vehicle, ransom call",Section 140 (Kidnapping),Section 184 (Medical Examination of Kidnapped Person),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Conviction,13,High
CP-CASE-100064,Accused created a fake social media profile using the complainant's photos and extorted money from their contacts.,Cyber Crime & Fraud,Rural Area,1,2,None,Accidental / Negligence,1657717,None,"fake website, cloned identity, phishing",Section 336 (Forgery),Section 173 (Electronic FIR filing),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),2 to 5 Years Imprisonment & Fine,Settled / Compromised,34,Low
CP-CASE-100065,A thief broke into a commercial shop at night by drilling a hole in the rear wall and stole cash amount of INR 948924.,Theft & Burglary,Public Space,3,3,None,Spontaneous Argument,948924,None,"steal, locker forced, missing cash, thief, gold chain",Section 305 (Theft in Dwelling),Section 173 (Information in Cognizable Cases),Section 60 (Primary Evidence),1 to 7 Years Imprisonment & Fine,Conviction,34,High
CP-CASE-100066,A 10-year-old child was abducted outside their school by two individuals in a black SUV. A ransom call was received later.,Kidnapping & Abduction,Digital / Online,2,3,Kitchen Knife,Property Dispute,312078,None,"missing child, abduction, unidentified vehicle, forced custody, held hostage",Section 140 (Kidnapping),Section 173 (Zero FIR registration),Section 114 (Presumption as to Absence of Consent),7 to 10 Years Imprisonment & Fine,Dismissed for Lack of Evidence,33,High
CP-CASE-100067,Complainant purchased goods from an online portal which turned out to be a fraudulent setup. Loss of INR 1736223 reported.,Cyber Crime & Fraud,Digital / Online,2,1,None,Accidental / Negligence,1736223,None,"forged signature, credit card fraud, ransomware, phishing",Section 336 (Forgery),Section 105 (Search and Seizure of Electronic Devices),Section 63 (Admissibility of Electronic Signatures),2 to 5 Years Imprisonment & Fine,Conviction,11,High
CP-CASE-100068,Accused was caught red-handed stealing a mobile phone and wallet from a passenger at the crowded railway station.,Theft & Burglary,Public Space,3,1,None,Property Dispute,1562516,None,"night burglary, house break, robbery, gold chain, broken lock",Section 331 (Lurking House-trespass),Section 184 (Medical Examination of Victim),Section 57 (Admissibility of Electronic Records),1 to 7 Years Imprisonment & Fine,Referred to Mediation,24,Medium
