case_id,court,judge,facts,issues,evidence_summary,decision,sentence,bns_sections,bnss_procedures,bsa_provisions,judgment_summary
CP-CASE-100011,Metropolitan Magistrate Court,Justice Anand Verma,"On examination of witnesses and documents, it is observed that the complainant stated that when they returned home from vacation, they found the front lock broken and jewelry worth inr 481125 stolen.",Whether the accused is guilty under Section 331 (Lurking House-trespass) and whether procedures in Section 173 (Information in Cognizable Cases) were fully complied with.,The prosecution submitted Section 60 (Primary Evidence). Police officer notes confirm details.,The accused is acquitted due to lack of standard corroborative evidence.,None / Acquitted,Section 331 (Lurking House-trespass),Section 173 (Information in Cognizable Cases),Section 60 (Primary Evidence),"In Metropolitan Magistrate Court, Justice Anand Verma passed a judgment regarding the Theft & Burglary case. Verdict: Dismissed for Lack of Evidence. Duration: 21 months."
CP-CASE-100012,District and Sessions Court,Justice H.S. Sangwan,"On examination of witnesses and documents, it is observed that locked apartment was broken into during the daytime. valuables including a laptop, silver utensils, and inr 204278 cash were stolen.",Whether the accused is guilty under Section 305 (Theft in Dwelling) and whether procedures in Section 173 (Information in Cognizable Cases) were fully complied with.,The prosecution submitted Section 57 (Admissibility of Electronic Records). Police officer notes confirm details.,The accused is acquitted due to lack of standard corroborative evidence.,None / Acquitted,Section 305 (Theft in Dwelling),Section 173 (Information in Cognizable Cases),Section 57 (Admissibility of Electronic Records),"In District and Sessions Court, Justice H.S. Sangwan passed a judgment regarding the Theft & Burglary case. Verdict: Acquittal. Duration: 18 months."
CP-CASE-100013,Chief Judicial Magistrate Court,Justice Anand Verma,"On examination of witnesses and documents, it is observed that the victim was assaulted by a group of individuals near a local market, sustaining severe head injuries and a fractured arm.",Whether the accused is guilty under Section 115 (Voluntarily Causing Hurt) and whether procedures in Section 202 (Postponement of Issue of Process) were fully complied with.,The prosecution submitted Section 45 (Opinions of Experts). Police officer notes confirm details.,The accused is acquitted due to lack of standard corroborative evidence.,None / Acquitted,Section 115 (Voluntarily Causing Hurt),Section 202 (Postponement of Issue of Process),Section 45 (Opinions of Experts),"In Chief Judicial Magistrate Court, Justice Anand Verma passed a judgment regarding the Assault & Hurt case. Verdict: Acquittal. Duration: 36 months."
CP-CASE-100014,Chief Judicial Magistrate Court,Justice H.S. Sangwan,"On examination of witnesses and documents, it is observed that a physical altercation broke out between neighbors over a parking space, resulting in the accused hitting the victim with an iron rod causing grievous hurt.",Whether the accused is guilty under Section 115 (Voluntarily Causing Hurt) and whether procedures in Section 176 (Inquiry by Police in Custodial Deaths/Violence) were fully complied with.,The prosecution submitted Section 45 (Opinions of Experts). Police officer notes confirm details.,The Court finds the accused guilty of Assault & Hurt and is sentenced accordingly.,Fine up to INR 10000 or up to 7 Years Imprisonment,Section 115 (Voluntarily Causing Hurt),Section 176 (Inquiry by Police in Custodial Deaths/Violence),Section 45 (Opinions of Experts),"In Chief Judicial Magistrate Court, Justice H.S. Sangwan passed a judgment regarding the Assault & Hurt case. Verdict: Conviction. Duration: 9 months."
CP-CASE-100015,Metropolitan Magistrate Court,Justice Anand Verma,"On examination of witnesses and documents, it is observed that a businessman was kidnapped from his farmhouse by armed assailants demanding inr 1929094 for his release.",Whether the accused is guilty under Section 140 (Kidnapping) and whether procedures in Section 173 (Zero FIR registration) were fully complied with.,The prosecution submitted Section 114 (Presumption as to Absence of Consent). Police officer notes confirm details.,The Court finds the accused guilty of Kidnapping & Abduction and is sentenced accordingly.,7 to 10 Years Imprisonment & Fine,Section 140 (Kidnapping),Section 173 (Zero FIR registration),Section 114 (Presumption as to Absence of Consent),"In Metropolitan Magistrate Court, Justice Anand Verma passed a judgment regarding the Kidnapping & Abduction case. Verdict: Conviction. Duration: 45 months."
CP-CASE-100016,High Court,Justice Anand Verma,"On examination of witnesses and documents, it is observed that accused lured a young girl under false pretenses of a job offer and held her captive in a remote village.",Whether the accused is guilty under Section 140 (Kidnapping) and whether procedures in Section 173 (Zero FIR registration) were fully complied with.,The prosecution submitted Section 45 (Expert Opinion on Handwriting). Police officer notes confirm details.,The accused is acquitted due to lack of standard corroborative evidence.,None / Acquitted,Section 140 (Kidnapping),Section 173 (Zero FIR registration),Section 45 (Expert Opinion on Handwriting),"In High Court, Justice Anand Verma passed a judgment regarding the Kidnapping & Abduction case. Verdict: Referred to Mediation. Duration: 45 months."
CP-CASE-100017,District and Sessions Court,Judge Rajesh K. Mehta,"On examination of witnesses and documents, it is observed that accused lured a young girl under false pretenses of a job offer and held her captive in a remote village.",Whether the accused is guilty under Section 142 (Kidnapping or Abducting in order to Murder) and whether procedures in Section 173 (Zero FIR registration) were fully complied with.,The prosecution submitted Section 45 (Expert Opinion on Handwriting). Police officer notes confirm details.,The Court finds the accused guilty of Kidnapping & Abduction and is sentenced accordingly.,7 to 10 Years Imprisonment & Fine,Section 142 (Kidnapping or Abducting in order to Murder),Section 173 (Zero FIR registration),Section 45 (Expert Opinion on Handwriting),"In District and Sessions Court, Judge Rajesh K. Mehta passed a judgment regarding the Kidnapping & Abduction case. Verdict: Conviction. Duration: 48 months."
CP-CASE-100018,Metropolitan Magistrate Court,Judge Shalini Joshi,"On examination of witnesses and documents, it is observed that the complainant stated that when they returned home from vacation, they found the front lock broken and jewelry worth inr 1866862 stolen.",Whether the accused is guilty under Section 331 (Lurking House-trespass) and whether procedures in Section 184 (Medical Examination of Victim) were fully complied with.,The prosecution submitted Section 60 (Primary Evidence). Police officer notes confirm details.,The Court finds the accused guilty of Theft & Burglary and is sentenced accordingly.,1 to 7 Years Imprisonment & Fine,Section 331 (Lurking House-trespass),Section 184 (Medical Examination of Victim),Section 60 (Primary Evidence),"In Metropolitan Magistrate Court, Judge Shalini Joshi passed a judgment regarding the Theft & Burglary case. Verdict: Conviction. Duration: 9 months."
CP-CASE-100019,High Court,Judge Rajesh K. Mehta,"On examination of witnesses and documents, it is observed that the victim received a phishing call pretending to be a bank official, leading to an unauthorized debit of inr 93456 from their bank account.",Whether the accused is guilty under Section 318 (Cheating) and whether procedures in Section 173 (Electronic FIR filing) were fully complied with.,The prosecution submitted Section 63 (Admissibility of Electronic Signatures). Police officer notes confirm details.,The Court finds the accused guilty of Cyber Crime & Fraud and is sentenced accordingly.,2 to 5 Years Imprisonment & Fine,Section 318 (Cheating),Section 173 (Electronic FIR filing),Section 63 (Admissibility of Electronic Signatures),"In High Court, Judge Rajesh K. Mehta passed a judgment regarding the Cyber Crime & Fraud case. Verdict: Conviction. Duration: 40 months."
CP-CASE-100020,District and Sessions Court,Judge M. Durai,"On examination of witnesses and documents, it is observed that victim was abducted from a bus stop by masked men. the family received threats demanding property papers.",Whether the accused is guilty under Section 142 (Kidnapping or Abducting in order to Murder) and whether procedures in Section 184 (Medical Examination of Kidnapped Person) were fully complied with.,The prosecution submitted Section 114 (Presumption as to Absence of Consent). Police officer notes confirm details.,The accused is acquitted due to lack of standard corroborative evidence.,None / Acquitted,Section 142 (Kidnapping or Abducting in order to Murder),Section 184 (Medical Examination of Kidnapped Person),Section 114 (Presumption as to Absence of Consent),"In District and Sessions Court, Judge M. Durai passed a judgment regarding the Kidnapping & Abduction case. Verdict: Acquittal. Duration: 21 months."
CP-CASE-100021,Metropolitan Magistrate Court,Judge M. Durai,"On examination of witnesses and documents, it is observed that accused was caught red-handed stealing a mobile phone and wallet from a passenger at the crowded railway station.",Whether the accused is guilty under Section 305 (Theft in Dwelling) and whether procedures in Section 173 (Information in Cognizable Cases) were fully complied with.,The prosecution submitted Section 57 (Admissibility of Electronic Records). Police officer notes confirm details.,The accused is acquitted due to lack of standard corroborative evidence.,None / Acquitted,Section 305 (Theft in Dwelling),Section 173 (Information in Cognizable Cases),Section 57 (Admissibility of Electronic Records),"In Metropolitan Magistrate Court, Judge M. Durai passed a judgment regarding the Theft & Burglary case. Verdict: Settled / Compromised. Duration: 35 months."
CP-CASE-100022,District and Sessions Court,Judge Rajesh K. Mehta,"On examination of witnesses and documents, it is observed that the victim was assaulted by a group of individuals near a local market, sustaining severe head injuries and a fractured arm.",Whether the accused is guilty under Section 115 (Voluntarily Causing Hurt) and whether procedures in Section 202 (Postponement of Issue of Process) were fully complied with.,The prosecution submitted Section 32 (Relevancy of Statement of Dead Person). Police officer notes confirm details.,The accused is acquitted due to lack of standard corroborative evidence.,None / Acquitted,Section 115 (Voluntarily Causing Hurt),Section 202 (Postponement of Issue of Process),Section 32 (Relevancy of Statement of Dead Person),"In District and Sessions Court, Judge Rajesh K. Mehta passed a judgment regarding the Assault & Hurt case. Verdict: Settled / Compromised. Duration: 43 months."
CP-CASE-100023,High Court,Justice H.S. Sangwan,"On examination of witnesses and documents, it is observed that accused lured a young girl under false pretenses of a job offer and held her captive in a remote village.",Whether the accused is guilty under Section 142 (Kidnapping or Abducting in order to Murder) and whether procedures in Section 173 (Zero FIR registration) were fully complied with.,The prosecution submitted Section 114 (Presumption as to Absence of Consent). Police officer notes confirm details.,The accused is acquitted due to lack of standard corroborative evidence.,None / Acquitted,Section 142 (Kidnapping or Abducting in order to Murder),Section 173 (Zero FIR registration),Section 114 (Presumption as to Absence of Consent),"In High Court, Justice H.S. Sangwan passed a judgment regarding the Kidnapping & Abduction case. Verdict: Dismissed for Lack of Evidence. Duration: 29 months."
CP-CASE-100024,Chief Judicial Magistrate Court,Judge Shalini Joshi,"On examination of witnesses and documents, it is observed that a 10-year-old child was abducted outside their school by two individuals in a black suv. a ransom call was received later.",Whether the accused is guilty under Section 140 (Kidnapping) and whether procedures in Section 184 (Medical Examination of Kidnapped Person) were fully complied with.,The prosecution submitted Section 45 (Expert Opinion on Handwriting). Police officer notes confirm details.,The accused is acquitted due to lack of standard corroborative evidence.,None / Acquitted,Section 140 (Kidnapping),Section 184 (Medical Examination of Kidnapped Person),Section 45 (Expert Opinion on Handwriting),"In Chief Judicial Magistrate Court, Judge Shalini Joshi passed a judgment regarding the Kidnapping & Abduction case. Verdict: Referred to Mediation. Duration: 17 months."
CP-CASE-100025,Chief Judicial Magistrate Court,Judge M. Durai,"On examination of witnesses and documents, it is observed that a dead body with multiple stab wounds was discovered in an abandoned building. police suspect a pre-planned murder.",Whether the accused is guilty under Section 101 (Murder) and whether procedures in Section 196 (Power to Summon Persons) were fully complied with.,The prosecution submitted Section 26 (Admission by Party to Proceeding). Police officer notes confirm details.,The Court finds the accused guilty of Murder & Homicide and is sentenced accordingly.,Life Imprisonment or Death Penalty & Fine,Section 101 (Murder),Section 196 (Power to Summon Persons),Section 26 (Admission by Party to Proceeding),"In Chief Judicial Magistrate Court, Judge M. Durai passed a judgment regarding the Murder & Homicide case. Verdict: Conviction. Duration: 48 months."
CP-CASE-100026,Chief Judicial Magistrate Court,Justice H.S. Sangwan,"On examination of witnesses and documents, it is observed that a 10-year-old child was abducted outside their school by two individuals in a black suv. a ransom call was received later.",Whether the accused is guilty under Section 142 (Kidnapping or Abducting in order to Murder) and whether procedures in Section 173 (Zero FIR registration) were fully complied with.,The prosecution submitted Section 45 (Expert Opinion on Handwriting). Police officer notes confirm details.,The accused is acquitted due to lack of standard corroborative evidence.,None / Acquitted,Section 142 (Kidnapping or Abducting in order to Murder),Section 173 (Zero FIR registration),Section 45 (Expert Opinion on Handwriting),"In Chief Judicial Magistrate Court, Justice H.S. Sangwan passed a judgment regarding the Kidnapping & Abduction case. Verdict: Referred to Mediation. Duration: 32 months."
CP-CASE-100027,High Court,Judge Rajesh K. Mehta,"On examination of witnesses and documents, it is observed that the accused shot the victim following a long-standing property dispute, leading to instantaneous death.",Whether the accused is guilty under Section 101 (Murder) and whether procedures in Section 194 (Inquest Reports on Accidental or Unnatural Deaths) were fully complied with.,The prosecution submitted Section 26 (Admission by Party to Proceeding). Police officer notes confirm details.,The accused is acquitted due to lack of standard corroborative evidence.,None / Acquitted,Section 101 (Murder),Section 194 (Inquest Reports on Accidental or Unnatural Deaths),Section 26 (Admission by Party to Proceeding),"In High Court, Judge Rajesh K. Mehta passed a judgment regarding the Murder & Homicide case. Verdict: Acquittal. Duration: 35 months."
CP-CASE-100028,Metropolitan Magistrate Court,Justice H.S. Sangwan,"On examination of witnesses and documents, it is observed that accused lured a young girl under false pretenses of a job offer and held her captive in a remote village.",Whether the accused is guilty under Section 140 (Kidnapping) and whether procedures in Section 184 (Medical Examination of Kidnapped Person) were fully complied with.,The prosecution submitted Section 45 (Expert Opinion on Handwriting). Police officer notes confirm details.,The accused is acquitted due to lack of standard corroborative evidence.,None / Acquitted,Section 140 (Kidnapping),Section 184 (Medical Examination of Kidnapped Person),Section 45 (Expert Opinion on Handwriting),"In Metropolitan Magistrate Court, Justice H.S. Sangwan passed a judgment regarding the Kidnapping & Abduction case. Verdict: Acquittal. Duration: 46 months."
CP-CASE-100029,Metropolitan Magistrate Court,Justice H.S. Sangwan,"On examination of witnesses and documents, it is observed that accused was caught red-handed stealing a mobile phone and wallet from a passenger at the crowded railway station.",Whether the accused is guilty under Section 331 (Lurking House-trespass) and whether procedures in Section 173 (Information in Cognizable Cases) were fully complied with.,The prosecution submitted Section 57 (Admissibility of Electronic Records). Police officer notes confirm details.,The accused is acquitted due to lack of standard corroborative evidence.,None / Acquitted,Section 331 (Lurking House-trespass),Section 173 (Information in Cognizable Cases),Section 57 (Admissibility of Electronic Records),"In Metropolitan Magistrate Court, Justice H.S. Sangwan passed a judgment regarding the Theft & Burglary case. Verdict: Dismissed for Lack of Evidence. Duration: 10 months."
CP-CASE-100030,High Court,Judge Rajesh K. Mehta,"On examination of witnesses and documents, it is observed that victim was abducted from a bus stop by masked men. the family received threats demanding property papers.",Whether the accused is guilty under Section 142 (Kidnapping or Abducting in order to Murder) and whether procedures in Section 184 (Medical Examination of Kidnapped Person) were fully complied with.,The prosecution submitted Section 45 (Expert Opinion on Handwriting). Police officer notes confirm details.,The accused is acquitted due to lack of standard corroborative evidence.,None / Acquitted,Section 142 (Kidnapping or Abducting in order to Murder),Section 184 (Medical Examination of Kidnapped Person),Section 45 (Expert Opinion on Handwriting),"In High Court, Judge Rajesh K. Mehta passed a judgment regarding the Kidnapping & Abduction case. Verdict: Referred to Mediation. Duration: 40 months."
CP-CASE-100031,Chief Judicial Magistrate Court,Justice H.S. Sangwan,"On examination of witnesses and documents, it is observed that victim was poisoned by a family member to inherit ancestral property. autopsy confirmed presence of chemical toxins.",Whether the accused is guilty under Section 101 (Murder) and whether procedures in Section 196 (Power to Summon Persons) were fully complied with.,The prosecution submitted Section 26 (Admission by Party to Proceeding). Police officer notes confirm details.,The accused is acquitted due to lack of standard corroborative evidence.,None / Acquitted,Section 101 (Murder),Section 196 (Power to Summon Persons),Section 26 (Admission by Party to Proceeding),"In Chief Judicial Magistrate Court, Justice H.S. Sangwan passed a judgment regarding the Murder & Homicide case. Verdict: Dismissed for Lack of Evidence. Duration: 11 months."
CP-CASE-100032,High Court,Judge Rajesh K. Mehta,"On examination of witnesses and documents, it is observed that accused voluntarily caused bodily harm to a passerby after a heated argument, using a wooden stick.",Whether the accused is guilty under Section 115 (Voluntarily Causing Hurt) and whether procedures in Section 202 (Postponement of Issue of Process) were fully complied with.,The prosecution submitted Section 32 (Relevancy of Statement of Dead Person). Police officer notes confirm details.,The Court finds the accused guilty of Assault & Hurt and is sentenced accordingly.,Fine up to INR 10000 or up to 7 Years Imprisonment,Section 115 (Voluntarily Causing Hurt),Section 202 (Postponement of Issue of Process),Section 32 (Relevancy of Statement of Dead Person),"In High Court, Judge Rajesh K. Mehta passed a judgment regarding the Assault & Hurt case. Verdict: Conviction. Duration: 40 months."
CP-CASE-100033,Chief Judicial Magistrate Court,Judge Rajesh K. Mehta,"On examination of witnesses and documents, it is observed that the complainant stated that when they returned home from vacation, they found the front lock broken and jewelry worth inr 1639364 stolen.",Whether the accused is guilty under Section 303 (Theft) and whether procedures in Section 173 (Information in Cognizable Cases) were fully complied with.,The prosecution submitted Section 60 (Primary Evidence). Police officer notes confirm details.,The accused is acquitted due to lack of standard corroborative evidence.,None / Acquitted,Section 303 (Theft),Section 173 (Information in Cognizable Cases),Section 60 (Primary Evidence),"In Chief Judicial Magistrate Court, Judge Rajesh K. Mehta passed a judgment regarding the Theft & Burglary case. Verdict: Settled / Compromised. Duration: 22 months."
CP-CASE-100034,Metropolitan Magistrate Court,Justice Anand Verma,"On examination of witnesses and documents, it is observed that a 10-year-old child was abducted outside their school by two individuals in a black suv. a ransom call was received later.",Whether the accused is guilty under Section 140 (Kidnapping) and whether procedures in Section 173 (Zero FIR registration) were fully complied with.,The prosecution submitted Section 114 (Presumption as to Absence of Consent). Police officer notes confirm details.,The accused is acquitted due to lack of standard corroborative evidence.,None / Acquitted,Section 140 (Kidnapping),Section 173 (Zero FIR registration),Section 114 (Presumption as to Absence of Consent),"In Metropolitan Magistrate Court, Justice Anand Verma passed a judgment regarding the Kidnapping & Abduction case. Verdict: Referred to Mediation. Duration: 25 months."
CP-CASE-100035,High Court,Judge Rajesh K. Mehta,"On examination of witnesses and documents, it is observed that locked apartment was broken into during the daytime. valuables including a laptop, silver utensils, and inr 729139 cash were stolen.",Whether the accused is guilty under Section 331 (Lurking House-trespass) and whether procedures in Section 184 (Medical Examination of Victim) were fully complied with.,The prosecution submitted Section 57 (Admissibility of Electronic Records). Police officer notes confirm details.,The accused is acquitted due to lack of standard corroborative evidence.,None / Acquitted,Section 331 (Lurking House-trespass),Section 184 (Medical Examination of Victim),Section 57 (Admissibility of Electronic Records),"In High Court, Judge Rajesh K. Mehta passed a judgment regarding the Theft & Burglary case. Verdict: Acquittal. Duration: 33 months."
CP-CASE-100036,High Court,Justice H.S. Sangwan,"On examination of witnesses and documents, it is observed that complainant purchased goods from an online portal which turned out to be a fraudulent setup. loss of inr 1292661 reported.",Whether the accused is guilty under Section 318 (Cheating) and whether procedures in Section 105 (Search and Seizure of Electronic Devices) were fully complied with.,The prosecution submitted Section 65 (Special Provisions as to Evidence Relating to Electronic Record). Police officer notes confirm details.,The Court finds the accused guilty of Cyber Crime & Fraud and is sentenced accordingly.,2 to 5 Years Imprisonment & Fine,Section 318 (Cheating),Section 105 (Search and Seizure of Electronic Devices),Section 65 (Special Provisions as to Evidence Relating to Electronic Record),"In High Court, Justice H.S. Sangwan passed a judgment regarding the Cyber Crime & Fraud case. Verdict: Conviction. Duration: 27 months."
CP-CASE-100037,High Court,Justice Anand Verma,"On examination of witnesses and documents, it is observed that the victim was assaulted by a group of individuals near a local market, sustaining severe head injuries and a fractured arm.",Whether the accused is guilty under Section 117 (Voluntarily Causing Grievous Hurt) and whether procedures in Section 202 (Postponement of Issue of Process) were fully complied with.,The prosecution submitted Section 32 (Relevancy of Statement of Dead Person). Police officer notes confirm details.,The accused is acquitted due to lack of standard corroborative evidence.,None / Acquitted,Section 117 (Voluntarily Causing Grievous Hurt),Section 202 (Postponement of Issue of Process),Section 32 (Relevancy of Statement of Dead Person),"In High Court, Justice Anand Verma passed a judgment regarding the Assault & Hurt case. Verdict: Dismissed for Lack of Evidence. Duration: 36 months."
CP-CASE-100038,High Court,Justice Anand Verma,"On examination of witnesses and documents, it is observed that a thief broke into a commercial shop at night by drilling a hole in the rear wall and stole cash amount of inr 618056.",Whether the accused is guilty under Section 305 (Theft in Dwelling) and whether procedures in Section 184 (Medical Examination of Victim) were fully complied with.,The prosecution submitted Section 60 (Primary Evidence). Police officer notes confirm details.,The accused is acquitted due to lack of standard corroborative evidence.,None / Acquitted,Section 305 (Theft in Dwelling),Section 184 (Medical Examination of Victim),Section 60 (Primary Evidence),"In High Court, Justice Anand Verma passed a judgment regarding the Theft & Burglary case. Verdict: Dismissed for Lack of Evidence. Duration: 28 months."
CP-CASE-100039,Metropolitan Magistrate Court,Justice Anand Verma,"On examination of witnesses and documents, it is observed that the victim received a phishing call pretending to be a bank official, leading to an unauthorized debit of inr 484473 from their bank account.",Whether the accused is guilty under Section 319 (Cheating by Personation) and whether procedures in Section 105 (Search and Seizure of Electronic Devices) were fully complied with.,The prosecution submitted Section 63 (Admissibility of Electronic Signatures). Police officer notes confirm details.,The accused is acquitted due to lack of standard corroborative evidence.,None / Acquitted,Section 319 (Cheating by Personation),Section 105 (Search and Seizure of Electronic Devices),Section 63 (Admissibility of Electronic Signatures),"In Metropolitan Magistrate Court, Justice Anand Verma passed a judgment regarding the Cyber Crime & Fraud case. Verdict: Settled / Compromised. Duration: 18 months."
